Dep,Domain,PreSeg,FollVowel,Stress,Speaker,Sex,SEC,Edu,Age,Grapheme,Token ,Natlog,Log2,Context
Non,Initial,Consonant,High,Tonic,G1PPH5,Male,Low,Primary,15-19,ll,llueve,4.369447852,6.303780748,"a veces llueve, o sale mucho sol"
Str,Initial,Low,Mid,Pretonic,G1PPH5,Male,Low,Primary,15-19,ll,llover,3.583518938,5.169925001,otra vez a llover o algo así
Non,Initial,Mid,Mid,Pretonic,G1PPH5,Male,Low,Primary,15-19,ll,lloviendo,3.465735903,5,es que lloviendo uno no
Non,Initial,Pause,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039,no pues / yo no sé
Str,Initial,Mid,High,Tonic,G1PPH5,Male,Low,Primary,15-19,ll,llueva,3.135494216,4.523561956,"pero que no llueva, "
Non,Initial,Mid,High,Tonic,G1PPH5,Male,Low,Primary,15-19,ll,llueva,3.135494216,4.523561956,frío pero que no llueva. 
Str,Initial,Pause,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039,el calor / yo no sé
Non,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,porque ya me he acostumbrado
Str,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya cuando empieza 
Str,Initial,Mid,Mid,Pretonic,G1PPH5,Male,Low,Primary,15-19,ll,llover,3.583518938,5.169925001,empieza a llover me da
Non,Interior,Low,Mid,Pretonic,G1PPH5,Male,Low,Primary,15-19,ll,callejeando,0,1,estar por ahí callejeando. 
Non,Initial,Pause,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039,/ yo no sé
Non,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,porque ya es un barrio
Non,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,que ya como de más modo
Non,Initial,Consonant,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,entonces ya uno se va
Non,Initial,Mid,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039,no que yo sepa así
Non,Interior,Low,Low,Postonic,G1PPH5,Male,Low,Primary,15-19,y,hayan,6.386879319,9.214319121,que le hayan hecho al barrio
Non,Initial,Low,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039,hacerla yo creo que
Str,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya...
Non,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya los fines de semana
Non,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya era más peligro
Str,Interior,Low,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,calle,7.678326357,11.07748336,muy tarde para la calle /
Str,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya no /
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya uno no puede salir
Str,Interior,Low,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,calle,7.678326357,11.07748336,mas tranquilo a la calle.
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya ahí tienen que
Non,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,de resto ya todo
Str,Interior,Low,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,calle,7.678326357,11.07748336,a pintar las calles /
Non,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,la pintura y ya / 
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765," / ya, otras cosas por ahí"
Non,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,porque ya uno está acostumbrado
Non,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya acá uno
Str,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,uno ya en la ciudad
Non,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya le están haciendo
Non,Initial,Mid,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039,Metroplus o yo no sé
Non,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,ll,llama,7.764296006,11.20151134,cómo se llama eso
Non,Initial,Consonant,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,maneras ya con los arreglos
Non,Initial,Consonant,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039,pues yo como la veo
Str,Interior,Low,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,calles,6.137727054,8.854868383,las calles / los barrios
Non,Initial,Mid,Mid,Pretonic,G1PPH5,Male,Low,Primary,15-19,ll,llegar,7.687997166,11.09143539,tiene que llegar a estudiar
Str,Initial,Pause,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,ll,llega,7.169350017,10.34318572, / llega a tiempo
Non,Interior,Low,Low,Postonic,G1PPH5,Male,Low,Primary,15-19,y,vaya,6.89060912,9.941047606,que se vaya la luz
Str,Initial,Mid,Mid,Pretonic,G1PPH5,Male,Low,Primary,15-19,ll,llegar,7.687997166,11.09143539,para uno llegar tarde / 
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya...
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya lo cogen ahí
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya les queda cerquita
Non,Interior,Low,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,calles,6.137727054,8.854868383,están organizando las calles. 
Str,Interior,Low,Mid,Pretonic,G1PPH5,Male,Low,Primary,15-19,y,mayoría,7.728855824,11.15038197,la mayoríá sí
Str,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,para que ya toda la gente
Str,Interior,Low,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,calle,7.678326357,11.07748336,en la calle / 
Non,Initial,Pause,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya tenga con que comer
Non,Interior,Low,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,calle,7.678326357,11.07748336,y no en la calle. 
Non,Interior,Mid,Low,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,ella,8.686260633,12.53162514,y ahí ella se presentó
Non,Initial,Pause,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039, / yo me presenté
Non,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya. 
Non,Interior,Mid,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,ellos,8.870522545,12.79745889,o ellos salen con las novias
Non,Interior,Mid,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,ellos,8.870522545,12.79745889,las novias de ellos y 
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya las llevamos a bailar
Non,Initial,Consonant,Mid,Pretonic,G1PPH5,Male,Low,Primary,15-19,ll,llevamos,5.693732139,8.214319121,las llevamos a bailar
Non,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya cada uno
Str,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, /  ya cuando venimos
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya hasta el otro día
Non,Interior,Mid,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,ellos,8.870522545,12.79745889,y habla con ellos. 
Non,Initial,Consonant,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,entonces ya me toca
Non,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,uno ya tiene un sueldo
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya después empiezan
Non,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya después me voy
Str,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,"no ya, me entro"
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya los fines de semana
Str,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya si coge uno 
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,ah! ya para donde la novia
Non,Interior,Mid,Low,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,ella,8.686260633,12.53162514,sólo lo sabe ella y Dios
Non,Initial,Pause,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039, / yo no. 
Str,Initial,Mid,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039,me imagino yo. 
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya uno va a otros barrios
Str,Interior,Low,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,calle,7.678326357,11.07748336,que duerma en la calle...
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya después de ahí
Non,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya subir donde la novia
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya cada vez que comamos
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya cada uno coge para
Non,Interior,Mid,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,pollo,4.394449155,6.339850003,arrocito con pollo...
Non,Interior,Mid,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,pollo,4.394449155,6.339850003,desmechan el pollo /
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, ya le echan otra
Non,Initial,Pause,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039, / yo no me le sé
Str,Interior,Low,Low,Pretonic,G1PPH5,Male,Low,Primary,15-19,y,rayadito,0,1,el pimentón rayadito / 
Non,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya. 
Str,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya acaba / 
Non,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya / 
Str,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya es una fiesta normal
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya no /
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya todo el mundo
Str,Interior,High,Low,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,bulla,3.433987204,4.95419631,es haciendo bulla /
Str,Initial,Mid,Mid,Pretonic,G1PPH5,Male,Low,Primary,15-19,ll,llevaron,5.758901774,8.30833903,me llevaron a un lado
Non,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,un lado ya todo solo
Non,Initial,High,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,y ya me dijeron
Str,Initial,Consonant,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039,entonces yo hice lo
Non,Interior,Mid,Mid,Postonic,G1PPH5,Male,Low,Primary,15-19,ll,ellos,8.870522545,12.79745889,lo que ellos dijeron
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya cuando voltee
Non,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,al rato ya no se veían
Non,Initial,Consonant,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039,pues yo he pasado
Non,Initial,Mid,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765,pero ya ahí si
Non,Initial,Pause,Low,Tonic,G1PPH5,Male,Low,Primary,15-19,y,ya,10.11419408,14.59169765, / ya hay más policías
Non,Initial,Pause,Mid,Tonic,G1PPH5,Male,Low,Primary,15-19,y,yo,10.67262308,15.39734039, / yo no!
Str,Initial,Consonant,High,Tonic,G1SPH2,Male,Low,Secondary,15-19,ll,llueve,4.369447852,6.303780748,en ocasiones llueve y otras
Non,Initial,Consonant,High,Tonic,G1SPH2,Male,Low,Secondary,15-19,ll,lluvia,4.94875989,7.139551352,está con lluvia y sol
Str,Initial,Consonant,High,Tonic,G1SPH2,Male,Low,Secondary,15-19,ll,lluvia,4.94875989,7.139551352,está nada más lluvia sola
Non,Initial,Pause,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,yo,10.67262308,15.39734039, / yo prefiero mucho el frío
Non,Initial,Mid,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,yo,10.67262308,15.39734039,pero yo prefiero más el frio
Non,Initial,Low,Mid,Pretonic,G1SPH2,Male,Low,Secondary,15-19,ll,llovido,3.36729583,4.857980995,este año ha llovido más pues
Non,Initial,Low,High,Tonic,G1SPH2,Male,Low,Secondary,15-19,ll,lluvia,4.94875989,7.139551352,mucha lluvia por acá
Non,Initial,Consonant,High,Tonic,G1SPH2,Male,Low,Secondary,15-19,ll,llueve,4.369447852,6.303780748,pues llueve mucho 
Str,Initial,Low,High,Tonic,G1SPH2,Male,Low,Secondary,15-19,ll,lluvia,4.94875989,7.139551352,no caía tanta lluvia.
Non,Initial,Mid,Mid,Pretonic,G1SPH2,Male,Low,Secondary,15-19,ll,llovió,3.044522438,4.392317423,pues no llovió ni nada
Str,Initial,Mid,Mid,Pretonic,G1SPH2,Male,Low,Secondary,15-19,ll,llovió,3.044522438,4.392317423,no llovió casi.
Str,Initial,Pause,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,yo,10.67262308,15.39734039, / yo vivo en el barrio
Non,Initial,Consonant,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,yo,10.67262308,15.39734039,pues yo vivía en
Non,Initial,Pause,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765, / ya en estos tiempos
Non,Initial,High,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,así ya se lo han
Non,Initial,High,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,estoy ya estoy acostumbrado
Non,Initial,Mid,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,tengo ya ahí 
Non,Initial,High,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,ahí ya en ese barrio
Non,Initial,Mid,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,yo,10.67262308,15.39734039,porque yo casi pues
Non,Initial,Mid,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,yo,10.67262308,15.39734039,que yo entré a ese barrio
Non,Initial,Mid,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,la tarde ya tenía que estar
Non,Initial,Mid,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,todo eso ya se prendían
Non,Initial,Low,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,a esa hora ya teníá que estar
Non,Initial,Consonant,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,hay mucha tranquilidad ya ya
Non,Interior,Low,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,allá las personas no tienen temor
Non,Interior,Low,Mid,Postonic,G1SPH2,Male,Low,Secondary,15-19,ll,calle,7.678326357,11.07748336,salir a la calle y 
Non,Initial,High,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,y ya esas bandas 
Non,Initial,Consonant,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,antes ya se desagruparon
Non,Initial,High,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,y ya no hay pues
Non,Initial,Consonant,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,yo,10.67262308,15.39734039,pues yo visito arriba
Non,Initial,Mid,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,ll,llama,7.764296006,11.20151134,lo que se llama la Isla
Non,Interior,Low,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,ll,allá,8.323122888,12.00772811,para por allá con amigos
Non,Initial,Consonant,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,yo,10.67262308,15.39734039,entonces yo casi no la voy
Non,Interior,Mid,Mid,Postonic,G1SPH2,Male,Low,Secondary,15-19,ll,ellos,8.870522545,12.79745889,la voy con ellos entonces a mi 
Str,Interior,High,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,ll,orgullosas,1.098612289,1.584962501,porque son muy orgullosas.
Non,Interior,Low,Mid,Pretonic,G1SPH2,Male,Low,Secondary,15-19,y,mayoría,7.728855824,11.15038197,con la mayoría la voy bien
Non,Initial,Consonant,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,yo,10.67262308,15.39734039,pues yo casi me mantengo
Non,Initial,Mid,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,yo,10.67262308,15.39734039,me mantengo yo hay veces
Non,Interior,Low,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,ll,allá,8.323122888,12.00772811,me mantengo allá pues como
Non,Initial,Consonant,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,yo,10.67262308,15.39734039,entonces yo me mantengo
Non,Initial,Mid,Mid,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,yo,10.67262308,15.39734039,me mantengo yo practicamente vivo
Non,Interior,Low,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,ll,allá,8.323122888,12.00772811,practicamente vivo allá.
Non,Interior,Mid,Mid,Postonic,G1SPH2,Male,Low,Secondary,15-19,ll,ellos,8.870522545,12.79745889,me gustaría salir con ellos porque
Non,Interior,Mid,Mid,Postonic,G1SPH2,Male,Low,Secondary,15-19,ll,ellos,8.870522545,12.79745889,muy aburridor salir con ellos porque
Non,Interior,Mid,Mid,Postonic,G1SPH2,Male,Low,Secondary,15-19,ll,ellos,8.870522545,12.79745889,porque ellos pues casi no les gusta
Non,Interior,Mid,Mid,Postonic,G1SPH2,Male,Low,Secondary,15-19,ll,ellos,8.870522545,12.79745889,pues así ellos casi no les gusta
Non,Initial,High,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,y,ya,10.11419408,14.59169765,los servicios y ya pues
Non,Interior,Low,Low,Tonic,G1SPH2,Male,Low,Secondary,15-19,ll,allá,8.323122888,12.00772811,eso es lo que hay allá. 
